,nodeid,osmid
0,0,42421728
1,1,42421731
2,2,42421737
3,3,42421741
4,4,42421745
5,5,42421749
6,6,42421751
7,7,42421769
8,8,42421772
9,9,42421775
10,10,42421776
11,11,42421778
12,12,42421783
13,13,42421785
14,14,42421786
15,15,42421791
16,16,42421800
17,17,42421803
18,18,42421806
19,19,42421809
20,20,42421810
21,21,42421828
22,22,42421852
23,23,42421857
24,24,42421865
25,25,42421877
26,26,42421889
27,27,42421969
28,28,42421972
29,29,42421974
30,30,42421982
31,31,42421985
32,32,42421993
33,33,42421996
34,34,42422000
35,35,42422006
36,36,42422016
37,37,42422026
38,38,42422028
39,39,42422038
40,40,42422042
41,41,42422086
42,42,42422110
43,43,42422168
44,44,42422283
45,45,42422449
46,46,42422509
47,47,42422592
48,48,42422899
49,49,42423020
50,50,42423039
51,51,42423051
52,52,42423101
53,53,42423116
54,54,42423170
55,55,42423189
56,56,42423203
57,57,42423295
58,58,42423296
59,59,42423307
60,60,42423456
61,61,42423514
62,62,42423549
63,63,42423564
64,64,42423565
65,65,42423674
66,66,42423752
67,67,42423774
68,68,42423836
69,69,42423885
70,70,42424025
71,71,42424089
72,72,42424117
73,73,42424133
74,74,42424142
75,75,42424145
76,76,42424225
77,77,42424235
78,78,42424408
79,79,42424439
80,80,42424531
81,81,42424551
82,82,42424576
83,83,42424610
84,84,42424619
85,85,42424630
86,86,42424641
87,87,42424672
88,88,42424679
89,89,42424698
90,90,42424701
91,91,42424703
92,92,42424706
93,93,42424757
94,94,42424758
95,95,42424789
96,96,42424851
97,97,42424864
98,98,42425088
99,99,42425100
100,100,42425127
101,101,42425232
102,102,42425242
103,103,42425348
104,104,42425417
105,105,42425425
106,106,42425484
107,107,42425570
108,108,42425681
109,109,42425747
110,110,42425758
111,111,42425780
112,112,42425955
113,113,42426060
114,114,42426089
115,115,42426135
116,116,42426374
117,117,42426418
118,118,42426665
119,119,42426799
120,120,42426805
121,121,42426810
122,122,42426816
123,123,42426851
124,124,42426865
125,125,42426875
126,126,42426928
127,127,42426931
128,128,42426957
129,129,42426968
130,130,42426971
131,131,42427009
132,132,42427016
133,133,42427030
134,134,42427036
135,135,42427070
136,136,42427086
137,137,42427112
138,138,42427115
139,139,42427122
140,140,42427126
141,141,42427128
142,142,42427133
143,143,42427136
144,144,42427139
145,145,42427143
146,146,42427146
147,147,42427150
148,148,42427152
149,149,42427156
150,150,42427159
151,151,42427164
152,152,42427168
153,153,42427185
154,154,42427190
155,155,42427196
156,156,42427206
157,157,42427212
158,158,42427216
159,159,42427236
160,160,42427242
161,161,42427278
162,162,42427300
163,163,42427305
164,164,42427307
165,165,42427311
166,166,42427316
167,167,42427319
168,168,42427322
169,169,42427324
170,170,42427327
171,171,42427335
172,172,42427337
173,173,42427340
174,174,42427345
175,175,42427346
176,176,42427352
177,177,42427358
178,178,42427369
179,179,42427371
180,180,42427374
181,181,42427381
182,182,42427386
183,183,42427390
184,184,42427411
185,185,42427412
186,186,42427423
187,187,42427426
188,188,42427427
189,189,42427477
190,190,42427483
191,191,42427519
192,192,42427523
193,193,42427531
194,194,42427538
195,195,42427649
196,196,42427735
197,197,42427742
198,198,42427744
199,199,42427750
200,200,42427762
201,201,42427764
202,202,42427768
203,203,42427769
204,204,42427773
205,205,42427780
206,206,42427782
207,207,42427786
208,208,42427787
209,209,42427797
210,210,42427805
211,211,42427812
212,212,42427821
213,213,42427834
214,214,42427844
215,215,42427846
216,216,42427849
217,217,42427852
218,218,42427855
219,219,42427859
220,220,42427863
221,221,42427867
222,222,42427870
223,223,42427873
224,224,42427877
225,225,42427881
226,226,42427883
227,227,42427888
228,228,42427891
229,229,42427894
230,230,42427915
231,231,42427965
232,232,42427968
233,233,42427970
234,234,42427972
235,235,42427975
236,236,42427979
237,237,42427985
238,238,42427991
239,239,42427996
240,240,42428003
241,241,42428005
242,242,42428007
243,243,42428010
244,244,42428012
245,245,42428013
246,246,42428014
247,247,42428015
248,248,42428016
249,249,42428020
250,250,42428022
251,251,42428024
252,252,42428027
253,253,42428029
254,254,42428032
255,255,42428034
256,256,42428037
257,257,42428039
258,258,42428043
259,259,42428045
260,260,42428047
